"id","Invoice_Date","Invoice_name","Line_of_business","Price","Quantity","Status"
"59","4/6/2018","nunc.ppt","Graham and Sons","0","6659","Disputed"
"60","4/22/2018","quisque.pdf","Homenick, Conn and Boyer","3933","686","Disputed"
"61","1/7/2019","nunc.xls","Konopelski Inc","85459","4806","Approved"
"62","3/18/2019","amet_cursus.ppt","Lakin, Mueller and Oberbrunner","23077","159","Disputed"
"63","11/4/2018","tincidunt.doc","Mueller, Denesik and Bins","66","825","Approved"
"64","3/29/2018","id.ppt","Waelchi, Rau and Schinner","4","502","Disputed"
"65","1/1/2019","morbi.ppt","Predovic Group","10105","2895","Disputed"
"66","9/28/2018","neque_aenean_auctor.xls","Emmerich-Champlin","4","7923","Disputed"
"67","1/14/2019","amet.pdf","Bernhard-Daugherty","1","9","Approved"
"68","12/19/2018","volutpat.xls","Erdman-Little","43","964","Approved"
"69","12/8/2018","cubilia_curae_nulla.ppt","Bailey-Sanford","158","16150","Approved"
"70","9/10/2018","ridiculus_mus.xls","Kreiger LLC","1","399","Open"
"71","5/6/2018","nascetur_ridiculus.ppt","Howell Inc","50","137","Open"
"72","12/27/2018","enim.xls","Abbott-Kemmer","37","941","Open"
"73","9/29/2018","tortor.xls","Crona-Bednar","89","99","Open"
"74","10/15/2018","sociis_natoque.xls","Armstrong-Lesch","568","3894","Open"
"75","8/22/2018","tempus.pdf","Harris-Bernhard","8011","6325","Open"
"76","3/30/2018","nascetur_ridiculus_mus.ppt","Kertzmann, Harvey and Gutkowski","4407","626","Open"
"77","12/16/2018","fermentum_justo_nec.ppt","Hegmann LLC","3","71","Open"
"78","2/24/2019","mattis_pulvinar_nulla.pdf","Hegmann-Bartoletti","73708","5","Open"
"79","12/14/2018","at_vulputate_vitae.xls","Schneider, Murazik and Rolfson","12194","5","Open"
"80","1/3/2019","mattis.ppt","Connelly-Stokes","431","4","Approved"
"81","5/16/2018","sapien_urna_pretium.pdf","Franecki, Beer and Graham","31769","8","Approved"
"82","8/10/2018","est_congue.ppt","Lang, Quigley and Hackett","68","9","Approved"
"83","5/7/2018","vel_sem.xls","Champlin, Olson and Wunsch","461","4","Disputed"
"84","10/20/2018","proin_at.ppt","Deckow Group","3224","70461","Disputed"
"85","7/7/2018","eget.xls","Collins and Sons","9960","81190","Disputed"
"86","2/28/2019","diam_neque.ppt","Emard-Torphy","788","65929","Disputed"
"87","2/15/2019","mus_vivamus_vestibulum.ppt","Schulist Inc","84273","261","Approved"
"88","12/17/2018","tincidunt_eget.ppt","Block-Hirthe","880","3154","Approved"
"89","1/5/2019","lorem.xls","Daniel and Sons","8","297","Approved"
"90","5/29/2018","sapien_cursus_vestibulum.ppt","Rodriguez-Crist","803","35","Disputed"
"91","2/28/2019","sit.doc","Thiel, Wehner and Wuckert","7","5","Approved"
"92","5/13/2018","at_vulputate.xls","Skiles, Willms and Moore","530","0","Disputed"
"93","4/13/2018","in_est_risus.doc","Marquardt-Purdy","42157","28","Disputed"
"94","11/22/2018","sit.ppt","Powlowski-Boyer","33","6819","Approved"
"95","1/2/2019","proin_leo_odio.ppt","Kuhlman and Sons","5366","7","Disputed"
"96","1/31/2019","consequat_nulla.ppt","Prosacco-Koepp","3703","2","Approved"
"97","12/16/2018","ac_nulla_sed.ppt","Sanford Inc","48719","7","Approved"
"98","1/11/2019","massa.ppt","Pacocha-Murazik","9","5365","Approved"
"99","10/14/2018","sit_amet_nunc.ppt","Feest-Waelchi","59201","3819","Disputed"
"100","4/19/2018","ac.xls","Crona, Waters and Spinka","9567","24911","Disputed"
"101","10/5/2018","vestibulum_sagittis_sapien.xls","Johnson-Christiansen","89019","8241","Disputed"
"102","12/12/2018","bibendum.xls","Parisian, Buckridge and Gerlach","14","1","Disputed"
"103","6/6/2018","orci_luctus_et.doc","Mertz, Pollich and Blanda","67","9178","Approved"
"104","7/26/2018","felis_fusce.xls","Ernser-Schultz","21806","14057","Approved"
"105","6/21/2018","ultrices_posuere.ppt","Ankunding Group","871","12027","Approved"
"106","6/25/2018","etiam.ppt","Wunsch LLC","6","63993","Open"
"107","10/14/2018","consequat.xls","Blanda-Jaskolski","31914","1124","Open"
"108","10/3/2018","nulla.ppt","Klein Group","69","492","Approved"
"109","7/13/2018","pede_posuere.ppt","Torp-Haag","89576","63873","Approved"
"110","1/3/2019","at.ppt","D'Amore Inc","119","26","Approved"
"111","2/3/2019","lacus.xls","Eichmann-Crist","69","94","Approved"
"112","5/20/2018","at.xls","Wolff Inc","79924","2863","Approved"
"113","2/2/2019","felis_fusce.ppt","Parisian LLC","2","150","Open"
"114","2/17/2019","fusce.ppt","Leannon, Schuster and Predovic","300","1547","Open"
"115","9/5/2018","blandit_mi.xls","Schroeder-Erdman","546","9","Open"
"116","7/31/2018","pede_venenatis_non.doc","Ritchie, Waters and Greenholt","3849","2","Open"
"117","3/17/2019","interdum.xls","Shanahan, Stark and Vandervort","7653","618","Open"
"118","12/1/2018","turpis_nec_euismod.pdf","Kunze-Bogisich","9325","0","Open"
"119","1/12/2019","at.ppt","Leannon-Welch","567","2","Open"
"120","3/30/2018","orci.xls","Labadie, Schaden and VonRueden","2964","1","Open"
"121","8/22/2018","tempor.xls","Langworth-Bergstrom","72","56444","Open"
"122","10/15/2018","accumsan_tortor_quis.pdf","Kuhic-Berge","47532","5","Open"
"123","5/29/2018","pretium_quis.xls","Mills, Pfeffer and Hills","5959","499","Open"
"124","8/18/2018","sodales_sed_tincidunt.xls","Stokes, Hansen and Cronin","32137","43","Open"
"125","10/12/2018","id_lobortis_convallis.doc","Wilderman and Sons","4","640","Open"
"126","4/12/2018","morbi_ut.ppt","Erdman, Braun and Wiegand","69","81","Open"
"127","6/2/2018","velit_eu_est.pdf","Roob-Hoeger","997","833","Open"
"128","9/11/2018","blandit.pdf","Ritchie, Haag and Keeling","7","9","Open"
"129","10/10/2018","sapien.xls","Kilback Group","54","2","Open"
"130","10/30/2018","tellus_nulla_ut.ppt","Cronin-Conn","97974","13","Open"
"131","4/7/2018","lorem.xls","Bode, Emmerich and Breitenberg","94209","53","Open"
"132","9/3/2018","elementum_eu.xls","Aufderhar-Cremin","1","9670","Open"
"133","6/23/2018","aliquam.pdf","Witting-Vandervort","441","48391","Open"
"134","3/17/2019","maecenas.xls","Mueller, Skiles and Cummerata","6358","9116","Open"
"135","6/29/2018","tristique_tortor_eu.ppt","Smitham LLC","5473","9","Open"
"136","2/4/2019","quisque_erat.ppt","Hamill and Sons","663","5","Open"
"137","11/3/2018","sit_amet_eleifend.ppt","Kris Inc","4","51","Approved"
"138","3/29/2018","amet.xls","Lueilwitz Inc","9","44","Approved"
"139","9/4/2018","eu_massa_donec.xls","Kuphal-Hermann","77","7","Disputed"
"140","9/9/2018","lacus_at.ppt","Zboncak-Sanford","742","93","Disputed"
"141","5/24/2018","faucibus.xls","Klocko Group","9","9033","Approved"
"142","8/9/2018","vestibulum.ppt","Kohler Inc","3643","8654","Approved"
"143","2/22/2019","vestibulum_ante.xls","Turcotte, Smith and Stroman","14","617","Disputed"
"144","12/20/2018","cubilia.xls","Sawayn Inc","5954","4","Disputed"
"145","6/8/2018","quam_sapien.ppt","Satterfield-Hilpert","7082","6747","Disputed"
"146","9/4/2018","luctus_nec.xls","Romaguera, Hamill and Beatty","7154","77","Disputed"
"147","10/29/2018","congue_diam.xls","Nicolas-Stracke","857","37","Disputed"
"148","12/6/2018","nullam.xls","Zemlak, Ward and Bins","141","9727","Disputed"
"149","5/23/2018","aenean.ppt","Green-Gleichner","317","16","Approved"
"150","1/16/2019","viverra_diam.ppt","Thiel Group","4794","5212","Disputed"
"151","5/18/2018","eget_nunc_donec.xls","Bosco-Schultz","1532","40484","Disputed"
"152","6/3/2018","quisque.xls","Medhurst-O'Conner","5","573","Disputed"
"153","1/11/2019","condimentum_id_luctus.ppt","Roberts, Streich and Nikolaus","44","2","Disputed"
"154","4/25/2018","nulla.ppt","Rohan, Dibbert and Corkery","354","244","Disputed"
"155","2/14/2019","lacus.ppt","Abbott Inc","8","412","Disputed"
"156","11/3/2018","in_eleifend.ppt","McLaughlin, Ratke and Hane","253","1","Disputed"
"157","8/2/2018","primis_in.doc","Weimann, Bashirian and Bosco","5","48667","Disputed"
"158","4/22/2018","elementum_nullam.pdf","Predovic-Altenwerth","3659","3","Disputed"
"159","2/12/2019","dolor.xls","Towne, Spencer and Hettinger","4589","2","Disputed"
"160","3/4/2019","semper_rutrum.pdf","Reilly-Ondricka","79","922","Disputed"
"161","12/10/2018","enim_lorem.ppt","Parisian-Heaney","17","9","Disputed"
"162","4/1/2018","eget_semper.ppt","Rogahn Inc","98276","56508","Approved"
"163","7/10/2018","sed_ante_vivamus.doc","Marks-Simonis","2594","42","Approved"
"164","12/19/2018","morbi_non_lectus.xls","Upton, Cartwright and Schowalter","5185","374","Approved"
"165","6/16/2018","eu_est_congue.xls","Vandervort, Gusikowski and Yundt","604","679","Approved"
"166","5/21/2018","sapien_placerat_ante.xls","Koch, Ratke and Bayer","3702","8617","Approved"
"167","11/3/2018","cubilia_curae.ppt","Kertzmann, Huels and Koepp","50557","6168","Approved"
"168","10/4/2018","sociis_natoque.pdf","Steuber-Fadel","70","9","Approved"
"169","7/25/2018","proin_eu.xls","Schaefer-Littel","89","427","Approved"
"170","4/30/2018","tincidunt_in.ppt","Boyle LLC","714","847","Approved"
"171","3/22/2018","lectus.xls","Mohr LLC","981","3813","Approved"
"172","5/11/2018","habitasse_platea_dictumst.xls","Mertz and Sons","7446","388","Approved"
"173","1/22/2019","sed_vestibulum_sit.ppt","McKenzie, Mitchell and Tillman","36","474","Approved"
"174","1/11/2019","porta.ppt","Feeney-Hammes","77748","40890","Approved"
"175","9/7/2018","eu.ppt","Wyman, Rempel and Hand","25415","66017","Approved"
"176","6/16/2018","porttitor_lacus.doc","West-Lubowitz","6879","9","Approved"
"177","8/28/2018","convallis_tortor.xls","Klein, Torphy and Anderson","920","19","Approved"
"178","9/12/2018","enim.xls","Fisher-Reichel","2","4","Open"
"179","5/29/2018","faucibus_cursus.xls","Harris-O'Conner","8961","643","Open"
"180","8/9/2018","nulla_suspendisse_potenti.ppt","Emard LLC","9855","74292","Approved"
"181","9/30/2018","ut_tellus_nulla.xls","Crist, Abbott and Schumm","9","9","Approved"
"182","11/20/2018","justo_sollicitudin.xls","O'Reilly Group","3664","586","Open"
"183","8/25/2018","egestas_metus_aenean.xls","Legros, Swift and Eichmann","4","70","Open"
"184","7/19/2018","ante_vel_ipsum.xls","Lang, Ratke and Nienow","37","48462","Open"
"185","3/18/2019","in_hac.ppt","Kozey Group","1724","895","Open"
"186","10/20/2018","nisi_vulputate_nonummy.xls","Grant Group","9179","8018","Open"
"187","5/26/2018","id_nulla.ppt","Casper-Wilderman","83","4","Open"
"188","10/13/2018","vulputate_justo_in.ppt","Konopelski-Russel","8743","51973","Open"
"189","4/10/2018","turpis_adipiscing_lorem.pdf","Stroman Group","64014","390","Approved"
"190","7/7/2018","lacus_curabitur_at.ppt","Purdy, Koss and Emard","4731","7","Approved"
"191","6/27/2018","metus.ppt","Kutch Group","397","85107","Approved"
"192","12/31/2018","curabitur.ppt","Breitenberg-Daugherty","0","95","Approved"
"193","8/22/2018","duis_bibendum_felis.xls","Durgan, Hyatt and Koepp","2845","9","Approved"
"194","2/4/2019","maecenas_tristique_est.ppt","MacGyver-Brown","64","43535","Approved"
"195","12/8/2018","pretium.ppt","O'Hara Inc","507","178","Approved"
"196","11/25/2018","a_pede.doc","White and Sons","35","87","Approved"
"197","5/25/2018","faucibus_cursus.ppt","Ebert LLC","485","359","Disputed"
"198","11/15/2018","pulvinar_nulla_pede.ppt","Russel-Goyette","554","683","Open"
"199","4/24/2018","ante_vel_ipsum.ppt","Sanford, Pfannerstill and Dickens","87","35717","Open"
"200","10/25/2018","montes_nascetur.doc","Rosenbaum, Streich and Stokes","74578","31595","Open"
"201","6/10/2018","integer_non.ppt","Reichel-Connelly","223","77","Open"
"202","9/10/2018","pede.pdf","Quigley-Swaniawski","39","99627","Open"
"203","11/5/2018","nisi_at_nibh.pdf","Olson Group","72114","31796","Open"
"204","3/18/2019","porta_volutpat_quam.xls","McGlynn-Little","9220","248","Open"
"205","11/21/2018","primis_in_faucibus.doc","Murphy LLC","860","38","Open"
"206","10/31/2018","eros_elementum.xls","Murazik-Kunze","82949","648","Disputed"
"207","9/21/2018","duis.doc","McLaughlin and Sons","14","6","Disputed"
"208","10/30/2018","at.ppt","Russel and Sons","15","1","Disputed"
"209","4/13/2018","sit_amet_nulla.ppt","Ziemann-Harris","5","0","Disputed"
"210","3/4/2019","vestibulum_ante_ipsum.xls","Morissette, Rolfson and Satterfield","24752","38268","Disputed"
"211","1/19/2019","nulla.ppt","Mertz, Stokes and Hintz","76","72417","Disputed"
"212","12/1/2018","augue_vestibulum.xls","Kutch, Stiedemann and Breitenberg","940","318","Disputed"
"213","11/15/2018","maecenas_tristique_est.xls","Leffler and Sons","1","154","Approved"
"214","2/1/2019","faucibus_orci.ppt","Hauck-Koepp","9607","94094","Approved"
"215","12/15/2018","luctus.xls","Kuhlman, Schuppe and Crooks","494","1","Approved"
"216","12/28/2018","metus_aenean.xls","Metz-Lind","26","35","Approved"
"217","2/25/2019","tincidunt_eget.ppt","Watsica-Weimann","5022","186","Approved"
"218","10/22/2018","ligula.doc","Durgan LLC","382","67833","Approved"
"219","12/16/2018","tortor.xls","Nader and Sons","2","92444","Open"
"220","1/30/2019","a.ppt","Kuphal and Sons","61441","74598","Open"
"221","6/23/2018","suscipit.xls","Rogahn Inc","42851","4","Open"
"222","11/28/2018","dui_nec_nisi.doc","Luettgen-Crooks","32","250","Open"
"223","12/25/2018","justo.ppt","Smitham Inc","672","4","Open"
"224","2/5/2019","aenean_sit_amet.ppt","Tremblay-Barrows","24","94","Open"
"225","5/24/2018","ligula.ppt","Boyer-Emard","4528","251","Open"
"226","3/9/2019","erat_nulla_tempus.ppt","Kulas Inc","9127","883","Open"
"227","6/10/2018","mus_etiam.ppt","Legros, Kub and Sporer","455","62","Open"
"228","9/22/2018","aenean_sit_amet.ppt","Rolfson, Beahan and Fahey","10340","638","Open"
"229","11/18/2018","volutpat.ppt","Hauck-Schmeler","5","539","Open"
"230","4/15/2018","est.ppt","Kilback Inc","1282","8","Open"
"231","6/22/2018","maecenas.xls","Bruen LLC","9003","3","Open"
"232","1/5/2019","vitae.doc","Doyle, Konopelski and Okuneva","817","946","Open"
"233","11/12/2018","amet_lobortis.pdf","Collier, Herman and Legros","13","722","Open"
"234","8/7/2018","amet_nulla.pdf","Sawayn, Mosciski and Moen","85591","847","Open"
"235","6/30/2018","rhoncus.xls","Larson and Sons","7263","65481","Open"
"236","10/30/2018","proin_at_turpis.ppt","Fritsch-Pfannerstill","7100","4","Open"
"237","6/5/2018","placerat_praesent_blandit.ppt","Schroeder Group","2","74","Open"
"238","2/12/2019","erat_tortor_sollicitudin.ppt","Pfeffer, Wiza and Hermiston","7123","6","Open"
"239","3/23/2018","et_ultrices_posuere.xls","Gleason-Leffler","5","2","Open"
"240","6/26/2018","id_mauris_vulputate.xls","Carroll, Bosco and Medhurst","0","5233","Disputed"
"241","12/31/2018","eget_eleifend.xls","Reinger, Labadie and Farrell","73","5","Disputed"
"242","12/24/2018","nascetur_ridiculus.doc","Nicolas, Walsh and Boyer","54227","7827","Disputed"
"243","12/8/2018","sit_amet.xls","Denesik-Runte","275","2","Disputed"
"244","8/14/2018","ante_ipsum_primis.pdf","Dach-Larkin","13137","4","Disputed"
"245","6/24/2018","cras_mi.xls","Harris, Walsh and O'Reilly","65293","7533","Disputed"
"246","11/3/2018","metus.ppt","Stehr Group","6247","4658","Disputed"
"247","5/5/2018","id_nulla_ultrices.xls","Medhurst-Nitzsche","5","438","Disputed"
"248","1/9/2019","hac_habitasse.xls","Hilll, Hauck and Considine","9","32571","Approved"
"249","9/11/2018","felis.xls","Kreiger Group","49985","68","Disputed"
"250","1/2/2019","sociis.xls","Luettgen and Sons","539","764","Approved"
"251","2/20/2019","proin_leo_odio.xls","Johnston LLC","38","9","Approved"
"252","6/2/2018","ipsum_primis_in.ppt","Bruen Inc","0","10209","Approved"
"253","1/9/2019","integer.xls","Dicki, Cartwright and O'Reilly","57440","4","Approved"
"254","12/14/2018","eleifend_quam.ppt","Bednar Group","720","80","Approved"
"255","6/28/2018","nulla_ultrices.pdf","Russel Group","303","8991","Approved"
"256","5/30/2018","lacus_at_turpis.ppt","Rodriguez Group","32","7785","Approved"
"257","6/18/2018","phasellus.xls","Rohan-Eichmann","871","17","Approved"
"258","9/2/2018","congue_eget_semper.ppt","Heaney, Prosacco and Lockman","9","369","Approved"
"259","4/19/2018","aenean.ppt","Kozey, Sanford and Larkin","7","11","Approved"
"260","7/17/2018","nulla_neque_libero.ppt","Marvin, Parker and Dare","62","189","Approved"
"261","9/24/2018","tellus_nulla.ppt","Crona Group","8925","54957","Approved"
"262","9/3/2018","donec.ppt","Price Group","93812","437","Approved"
"263","9/29/2018","risus_auctor.ppt","Conn, Balistreri and Funk","0","6","Approved"
"264","6/3/2018","lorem.ppt","Williamson, Jakubowski and Ferry","612","6662","Approved"
"265","9/9/2018","convallis_nulla.pdf","Sporer, Howe and Parker","64434","7","Approved"
"266","12/29/2018","nisi_vulputate_nonummy.doc","Corkery, Brekke and Bradtke","0","34833","Approved"
"267","2/19/2019","enim_in_tempor.doc","Marvin LLC","4","5770","Open"
"268","6/18/2018","primis_in.xls","Schoen and Sons","839","1","Open"
"269","11/15/2018","ut_massa_volutpat.xls","Cartwright, Glover and Bernier","44","16439","Open"
"270","12/24/2018","eleifend_quam_a.xls","Fritsch, Sanford and Witting","576","52","Open"
"271","2/3/2019","curae_duis.xls","Christiansen, Koch and Buckridge","24","649","Open"
"272","12/16/2018","eleifend.ppt","Schoen, Schumm and Greenholt","7293","530","Open"
"273","11/22/2018","mauris.pdf","Jacobi Inc","7892","9104","Open"
"274","1/23/2019","id_justo.ppt","Flatley-Shanahan","5","6115","Open"
"275","3/26/2018","nulla_elit_ac.xls","Ondricka-Hirthe","97936","90","Open"
"276","7/24/2018","turpis_enim_blandit.pdf","Smith-Will","42","19112","Open"
"277","9/22/2018","ante_ipsum_primis.ppt","Hodkiewicz-Herzog","8505","3","Open"
"278","5/8/2018","pede_malesuada_in.ppt","Rath-Walsh","7","4315","Disputed"
"279","5/20/2018","nibh_ligula_nec.ppt","Heathcote Inc","32","5","Open"
"280","12/2/2018","orci_pede.xls","Lehner LLC","54130","696","Disputed"
"281","8/16/2018","ligula.ppt","Weimann Group","3","96","Disputed"
"282","3/23/2018","libero_non.xls","Walsh-Lockman","97560","6","Disputed"
"283","2/15/2019","placerat.ppt","Schaden-Willms","226","81","Disputed"
"284","11/8/2018","ligula_pellentesque_ultrices.pdf","McDermott Inc","40","4","Disputed"
"285","3/31/2018","mi_integer.xls","Jenkins, Terry and Kirlin","33266","641","Disputed"
"286","4/13/2018","proin.xls","Ondricka-Nikolaus","65059","74","Disputed"
"287","1/29/2019","sem.ppt","Morissette, Schowalter and Hudson","3","6","Approved"
"288","7/22/2018","nulla_elit_ac.ppt","Douglas and Sons","5318","9","Approved"
"289","8/24/2018","tristique.ppt","Lowe Group","951","39","Approved"
"290","2/28/2019","aliquam_quis_turpis.ppt","Bednar-Kub","28","63","Disputed"
"291","12/11/2018","dolor_sit_amet.ppt","Smith, Hoppe and Bogisich","78047","474","Disputed"
"292","5/2/2018","donec_posuere_metus.ppt","Sawayn-Gislason","3","53","Disputed"
"293","9/12/2018","scelerisque_mauris_sit.xls","McDermott-Bradtke","951","619","Disputed"
"294","10/12/2018","sapien_iaculis_congue.doc","Cartwright-Reichert","8097","958","Disputed"
"295","7/21/2018","quis.xls","Balistreri, Gutkowski and Rippin","8","307","Disputed"
"296","6/9/2018","accumsan_tortor.pdf","Anderson LLC","8","1","Disputed"
"297","12/3/2018","nulla_neque.ppt","Cole, Grimes and Stroman","13","0","Open"
"298","6/3/2018","volutpat.ppt","Thompson, Vandervort and Brekke","7726","785","Open"
"299","9/4/2018","ut_tellus_nulla.ppt","Purdy, Heaney and Hegmann","37","72914","Open"
"300","2/20/2019","nullam_sit_amet.doc","Johns Group","0","0","Open"
"301","9/24/2018","nam_tristique.ppt","Kemmer, Schroeder and Kunde","31","6099","Open"
"302","3/18/2019","duis_bibendum_morbi.xls","Marvin-Heidenreich","9288","0","Open"
"303","5/3/2018","sed_accumsan.ppt","Boyer Inc","18","189","Open"
"304","12/10/2018","eros_viverra_eget.ppt","Pouros-Kuhlman","4","3","Open"
"305","9/18/2018","erat_nulla_tempus.ppt","Sanford Inc","7","8447","Open"
"306","6/20/2018","odio.pdf","Gorczany-Green","95","9642","Open"
"307","3/3/2019","augue_vestibulum_rutrum.xls","Nolan, Auer and Paucek","455","9275","Open"
"308","3/3/2019","leo_maecenas_pulvinar.xls","Herman, Larkin and Rodriguez","5375","341","Open"
"309","3/30/2018","sapien_placerat_ante.ppt","Wisozk, Green and Olson","620","867","Open"
"310","10/15/2018","mi_in_porttitor.ppt","Swaniawski, Vandervort and Ferry","9943","2","Open"
"311","10/23/2018","turpis.xls","Collins-Jacobson","8","210","Open"
"312","12/23/2018","vitae_mattis.xls","Stiedemann LLC","49","3707","Approved"
"313","5/26/2018","suspendisse_potenti.ppt","Jakubowski, Robel and Rowe","29","543","Approved"
"314","5/18/2018","phasellus_in.xls","Feest-Harber","45948","5447","Approved"
"315","11/1/2018","velit_eu.pdf","Hamill, Gorczany and Muller","69061","604","Approved"
"316","3/18/2019","suspendisse_ornare.ppt","Kreiger, Parker and Becker","80267","61","Approved"
"317","3/9/2019","odio.xls","Vandervort-Wolf","0","84800","Approved"
"318","7/19/2018","nunc_vestibulum.xls","Wolf-Leuschke","3666","4","Approved"
"319","3/9/2019","ac.xls","D'Amore Inc","3","99079","Disputed"
"320","1/22/2019","varius_nulla.xls","Wintheiser LLC","93024","699","Disputed"
"321","7/2/2018","porttitor_pede.xls","Legros-Stark","1103","5","Disputed"
"322","12/12/2018","quam_pharetra.xls","Walter Group","29","9209","Disputed"
"323","6/10/2018","magna.doc","Ratke-Watsica","4","952","Disputed"
"324","7/6/2018","pretium.ppt","Schumm, Grady and Bode","37860","68544","Disputed"
"325","3/10/2019","habitasse_platea_dictumst.xls","Marvin-Bernhard","76013","71620","Disputed"
"326","6/6/2018","tempus_sit.xls","Morissette and Sons","543","5085","Disputed"
"327","1/22/2019","pretium.ppt","Brown, Durgan and Farrell","7377","36","Disputed"
"328","7/15/2018","nascetur.ppt","Ortiz-Gusikowski","2","1891","Disputed"
"329","9/5/2018","proin_risus.xls","Steuber and Sons","849","90","Disputed"
"330","2/1/2019","ut_blandit_non.ppt","Gottlieb LLC","347","57","Disputed"
"331","10/10/2018","sociis_natoque_penatibus.xls","Koepp Inc","58","990","Disputed"
